path,module,source_set,classification,inferred_production_reachability,inferred_main_callers_or_consumers,inventory_status,historical_change_or_finding_reference,suggested_disposition
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/790f6122a3c36dd2225143f0e777cad3163072e756e70ba536b1231b19027aed.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/792b886a92c48143e7efab087ba98d2849681f6a502335f4cc9c0a5c64da5277.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/79c0c0be45afe7d680b6be1b9a6dded58156c6f92580e1100732443ac3d4c44e.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7ab64f5c3c6d46dda12a59e8e1163e0c4a58a2896377c5f5a256558610be01a9.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7c11b1f5480d8edfcae208850bdb6975c614e294d7bc5d0aa0fac7516c5d4685.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7c6ea33271fe68e44bcac97cf0d6f5e203bb5bf802094ea95713f63b9f085f76.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7ca64aadc1b540cea773191c57adfca9d2093bb1b5f140fa7db74659e7a3a52c.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7cb911e263d1cf42e6d7363ed5601a61ac58819768d5207df91b0f69e22a6ce8.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7d2d3fbf2f662e4100e8816b4723b5938a65f2a6f259ff4361285dc8d25abdba.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7d560c9a2ac27f1a0ed59bcde6716b911bcfd34b299ec9d84549ab8aa42f00fe.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7eddb0dc6d5cc1c61320f53d8f5558076b0ec5e1b77dc0a09922a4bf3d0e70cc.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7f4776855b8cd6de4098d4c23b7416f5b59ad535a09b2a47d5cdfae8f8e408c1.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/7f6bb9d13fe23ee4a6f4d68e84a0b06edf90272748a213561238bc3adf26e071.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/807830efa27130649286b0061c972ad9dc0b1a61d1bfc2d71a2e8ddf71f62bc5.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/811a4d01d9f13316edb1e53399cddb819d9fdf2f475afa66e224991bf34f55eb.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/81de7bcc8549084d104d5af33b120f93e10d45424a15a454cfa1f24304aa4d11.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/81f4a63e5acadbdb6080e903090bbdb33c4197a3e92d14e53d094179b5aac82d.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/82bddcdac4c477fbf0e76b7435c506db913f43da56cb879a4b627315cf5a8ae7.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/83039385976fdc494241f4572558a136e7b21116d7279b26daf335478bfacb57.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/842d000bbbe7a06968670e81fed092af780b86d6e308b6aa1a8f90c23b2b676c.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/84e738256842061fa9ba43689fe3cdbfc7ee1557f5ac400a1c17a84985268e19.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/866fb357c7146f5f7678ad44e4bc6c2823d568defce1ed2805bb6c899606b228.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/86caf3303fe994ad01e6a89c5a1f79f7002c608bb2b0c013bf13df9a8aea51c4.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8757cf1a522864151d4017fc9d21adb40e647be1c874985b38962f2eb3788eee.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/88a3e0245ad8b413dff6b39e2f62ae1e4bd8092be5648a829882edb7f465efba.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/890104cce8184d8aef77d3e680faef40bc2fb03063273270d0f24feca6973ba9.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/89920e106bdf294ff8d77cd3f980cad4ca9d841011b80cfa053ac375dbd6e256.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/89b99c218d60019316b50aab79816707bc21696c896a030e1b1ae038961bcb8e.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/89bd1043db38e37a07af5660e03612d4490ea0e1500993f5339ce1a2038d2cf8.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/89fbc2b2c5029e75bfb549f8755d9af582c31be296e1674a5c6e7414e256ee3f.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8a5288a19c138c83b7be5b0d248f912a0c1d6d16cdcf2b397340024e3b1177eb.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8a750497e705cbfe4b8eabb620dd4c1b8c284ecead6aa8e630a59779f438975d.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8a96ae2bd2fd8862ac2809527da03e8e77ed6bf3daadf134d3d2af789a71408d.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8c50592e0a02c4a0cc41067fe327ae0f379cc8e5aba176b6a2e53aebc356d4fd.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8cf9f495f176dc179fd1c6faa76cb7e65690b68ee2b7934c7d4a8340b5900987.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8d00f6e5077f3bbe81a1df328beb5eefd008cc8f81fffe6cacd526f015dc9e84.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8d7ee577547f8ac259e4c2dfbc188d65f1ada1372660b78eda28cf35d8f43c7d.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8e2a3901328d4e0229fa3c16c960d4fdcb49cd2e0137e93a85af0cb877b92fe1.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/8fd093008b3ee7c06e52c78da2af980a7b47b69b967fa91dad7af466f7a00a38.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/921cd02baf3609ff6e021134bb8bb2ccab87fd82723732e5baf48711fc2f9c8d.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/92a01a7641e72f452800b3fb89dc036d227e5742347f2e52a262195d1cbd3e01.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/935b70044173387af73d6a4cc818e67f5d7bd26eaa6a5dd13e9e94470dab8940.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/9373e2bf72adb9820a6e555676e92b1601d8549cb385092053d710436dceafb6.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/93be4d26e291524457ebd6e7ca60fb95c0f7599d1a9d42032fa6ffd9257b006a.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/9423b079bd5b7b4271a6a6d9349f0d7008dc5955d2a478bb2c8c347a2c925b70.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/94719dcf51034854878c6689a341a418911199d9fa5ebca583694866f5ed9b86.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/94c934418262cc952e1987d47d9f5ef9ef8216ffe796ac1945ea298d81ada87f.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
remediation-runs/2026-09-07-local-readiness/evidence/final-dependency-render-linux-04/report/metadata/95286e1d6f3bcbacab719a9448b009827b242773f748120f1e4fce30dbc52219.pom,repository,repository,repository-tooling-or-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 49a4e2317d56e887f36149601d77dfd5af1b8c3f (fix(verification): settle L08 scrolling and retain libproc diagnostics); independent review not attested,"RETAIN in the current production, build, test, or release contract"
